no;smiles;biotic_flag;ExactMolWt;MolLogP;NumHAcceptors;NumHDonors
117;O=c1nc(NC(CO)CO)cc[nH]1;0;185.080041212;-1.465;5.0;4.0
118;N#CCCC(C#N)NC(=O)CN(CCC#N)CCC(N)=O;0;290.149123816;-0.6103599999999991;6.0;2.0
119;N#CCN(CC(=O)NC(CO)Cc1ccccc1)C(=N)N;0;289.15387484800004;-0.5747499999999988;4.0;4.0
120;N#CCCNc1ncnc2[nH]cnc12;0;188.08104425599998;0.67848;5.0;2.0
121;N#CCN(C(=O)CNC(N)=O)c1[nH]cnc1C(N)=O;0;265.092337212;-1.9665199999999992;5.0;4.0
122;CC(N)C(=O)NC(C#N)C(C)O;0;171.100776656;-1.2772199999999987;4.0;3.0
123;CCN(CC(=O)O)C(=O)CN=CC(=O)CCO;0;244.105921612;-1.058199999999999;5.0;2.0
124;CC(NC(=O)CNC(=S)C(O)CO)C(=O)O;0;250.062342548;-2.1540999999999992;5.0;5.0
125;COC(=O)C(Cc1ccccc1)=NC(C#N)CC#N;0;255.100776656;1.64896;5.0;0.0
126;CSCCC(=O)N(CC(=O)O)C(C#N)CO;0;246.067427928;-0.46281999999999973;5.0;2.0
127;N#CCCN(CCC#N)C(=O)CNC(C#N)C(=O)CCO;0;291.133139404;-0.9243599999999992;7.0;2.0
128;CC(C#N)N(C(=O)CNC(=N)NC(=N)N)C(C#N)CC#N;0;289.13995610000006;-1.459619999999999;6.0;5.0
129;NCC(=O)N(CCc1ccccc1)CC(N)=S;0;251.109233164;0.3025000000000001;3.0;2.0
130;NCC(=O)N(CCc1ccccc1)CC(N)=O;0;235.132076784;-0.4982999999999997;3.0;2.0
131;Cc1cnc(N=CCNC(=N)N)o1;0;181.096359972;0.16838999999999982;4.0;3.0
132;N=C(N)NCC(O)C=Nc1[nH]cnc1CC(=O)O;0;254.112738308;-1.4169299999999996;5.0;6.0
133;CC(=O)C=NCC(=O)N(CCC#N)CCC(=O)O;0;253.10625596;-0.13682000000000044;5.0;1.0
134;CC(NC(=O)C(Cc1ccccc1)NC=N)C(=O)O;0;263.126991404;0.38366999999999957;3.0;4.0
135;O=C(O)CC(NCC(O)C(O)C(O)CO)C(=O)O;0;267.095416504;-3.421099999999998;7.0;7.0
136;N#CCCNC(=O)CCN(C=O)CC(=O)NCCC#N;0;279.133139404;-1.1053399999999987;5.0;2.0
